"__time","MACRO_CATEGORIA","FISSO_VARIABILE_INVESTIMENTI","DENOMINAZIONE","P_IVA","CATEGORIA"
"2023-01-01T00:00:00.000Z","","","ARKE' SRL","06466651004",""
"2023-01-01T00:00:00.000Z","","","Andrea Massei","14569691000",""
"2023-01-01T00:00:00.000Z","","","Gaudens srls","02549150999",""
"2023-01-01T00:00:00.000Z","","","Longo Alfredo","12462251005",""
"2023-01-01T00:00:00.000Z","","","PIANETA COSPEA SRL","01967130541",""
"2023-01-01T00:00:00.000Z","Affitto","Fisso","Asola srl","08318460964","Affitto"
"2023-01-01T00:00:00.000Z","Affitto","Fisso","DALVA s.r.l.","05627080962","Affitto"
"2023-01-01T00:00:00.000Z","Affitto","Fisso","DGDIPA SRL","11766830969","Affitto"
"2023-01-01T00:00:00.000Z","Affitto","Fisso","ROSTICCERIA CAPRERA SNC","03415840101","Affitto"
"2023-01-01T00:00:00.000Z","Affitto","Fisso","S.A.L.U.T.E. srl","00983561002","Affitto"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","2 SPAM Sicurezza sul Lavoro s.a.s. di Arecco Alessandro","01899280992","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","2001 Refrigerazione s.r.l.","07249830964","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","A.E.P.E.R  ASS.NE ESERC. PUBBL. ESE.ROMA","02115881001","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","A.P.L.E.M. SRL","06134330155","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ADERENTI LUCIANO DI ADERENTI FRANCESCO","02467530982","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ADK Italia Srl","06586030485","Abiti lavoro"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ADK Italia Srl","16586030485","Abiti lavoro"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AIMI FERRAMENTA S.n.c. di Rizzardi Nicolò & C.","02778200101","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ALICANTISTORE S.R.L.","12986471006","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ALMA BLU srl","01589820990","Abiti lavoro"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AMF System srl","04391101005","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AN ATOLL","55519430326","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AR STORE","02572960413","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AREA WEB S.R.L.","07352370725","Marketing"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ARS FUMI SRL","13743821004","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ART FIREWORKS ALLEVI GROUP SRL","02179830688","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ARUBA SPA","01573850516","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ARVAL SERVICE LEASE ITALIA SPA","04911190488","Automezzi"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ASS.NE ITALIANA SOMMELIER LOMBARDIA","04558230969","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ASSOCIAZIONE SPORTIVA DILETTANTISTICA CU","08369120962","Marketing"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","ATAC S.p.A. Azienda per la mobilità","06341981006","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AUTOFFICINA MY CAR s.n.c. di Trentin Lorenzo e Mattia","01253070187","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AUTOLAVAGGIO LUISA S.R.L.","00000000nan","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AUTOLAVAGGIO LUISA S.R.L.","12572420961","Marketing"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AUTOSTRADE PER L'ITALIA S.P.A.","07516911000","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AVENTINO  SUITE S.R.L.","12371641007","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","AVIAREPS S.R.L.","08582770965","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Alessandra Persico","03843000104","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Alice Ostiense srl","13225201006","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Amazon EU S.a r.l. Succursale Italiana","08973230967","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Andrea Bertini","02247740505","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Andrea Galli","12600940154","Manutenzione Verde"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Appari s.n.c. di APPARI Cesare CUNEO Giovanni e CUNEO Andrea","00202240990","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Apple Retail Italia S.r.l.","04935230963","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Area Colore S.r.l.","01883190991","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Azienda Trasporti Milanesi S.p.A.   ","12883390150","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BAGHINO E DI PERSIO S.R.L.","00946650108","Attrezzature Cucina"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BANCA MONTE DEI PASCHI DI SIENA SPA","01483500524","Spese Bancarie"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BARLEP SRLS","13868771000","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BASILI IMPIANTI S.N.C.","01979351002","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BBB SPA","00803620152","Abiti lavoro"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BCC POS S.P.A.     ADERENTE AL GRUPPO BANCARIO COOP.VO ICCREA","16947661001","Spese Bancarie"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BELLA MONICA SRL","12455501002","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BERTANI UTENSILI DI ARRIGONI GIUSEPPE","08949360963","Attrezzature Cucina"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BERTINI PARKING S.R.L.","10769390963","Spese Amministrative"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BLACK OUT SAS di STEFANO BAFFIGI E C.","03879310153","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BLASI ROSSI & PARTNERS SRL StP","13078321000","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BONFIGLIOLI PASQUINO SAS","11364050150","Altre Forniture"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BREDAQUARANTA SRL","08380360969","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","BRICOMAN ITALIA S.R.L. SOCIETA' A SOCIO UNICO","05602670969","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Bitossi Ceramiche S.r.l.","00383810488","Attrezzature Sala"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Bricocenter Italia S.r.l.","05602640962","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Business Value SRL","04077001008","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","C&C S.p.A.","05685740721","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CA Auto Bank S.p.A.","08349560014","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CACCIOTTI CARLO","08790650587","Commercialista"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CAIRORCS MEDIA S.p.A.","11484370967","Marketing"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CANDIDO ANTONIO","04753850157","Commercialista"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CAPSITALIA SERVICE SRL","02892560992","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CARIBE SRL","03421630108","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CASALE SRL","16926221009","Rappresentanza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CB srl  ","00750250169","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CCF CHIUSURE DI SICUREZZA S.r.l.","08156370960","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CDL SRL","15447471002","Abiti lavoro"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CDS SRL","01619370990","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CHEMICHAL SERVICES SRL","01787260767","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CHN MILANO S.R.L.","07344070151","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CIMA INFORTUNISTICA S.R.L.","02849420126","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CLASSE A PIU' SRL","04276700244","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CO-RA sas","02871490138","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","COFIR ROMA SRL","10904661005","Attrezzature Cucina"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","COLOMBERA SYSTEM DI MASSIMO COLOMBERA","06898570962","Software"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","COMOLI,FERRARI & C. SPA","00123060030","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CONSEIL S.R.L.","12620771001","Consulenza"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CONSORZIO IL GIARDINO DI CESAREA","01303490997","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","COOKI SRL","03752271209","Software"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","COOPERSYSTEM S. C. ADERENTE AL GRUPPO BANCARIO COOP.VO ICCREA","15240741007","Spese Bancarie"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CRIBIS D&B S.R.L.","01691720468","Software"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CRIOCABIN SPA","01147330284","Attrezzature Cucina"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","CT  CONSULTING S.R.L.","09399040964","Manutenzione Generica"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Cais s.r.l","09527331210","Attrezzature Cucina"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Car City Isola srl","09531320969","Altre Spese"
"2023-01-01T00:00:00.000Z","Altri Costi Fissi","Fisso","Car Service di A. Angelucci & C. snc","02064561000","Automezzi"
