SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT016417907022024o_00Gul,09247360960,22.0,2024-01-18,17002501009,,121.88,0000381ip4,TD01,leggimenu SRL,Via Stendhal 30,1.00,leggimenu.it - Brand,99.9,99.90164
IT01879020517A2024_a7R94,09247360960,10.0,2024-01-30,12508910960,PZ,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",53.00,TraMaBun,53.0,1.0
IT01879020517A2024_a7R94,09247360960,10.0,2024-01-30,12508910960,KG,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",11.70,PanBriosc,117.0,10.0
IT01879020517A2024_a7R94,09247360960,22.0,2024-01-30,12508910960,,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_a7R94,09247360960,10.0,2024-01-30,12508910960,KG,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",6.96,PanBriosc,69.6,10.0
IT01879020517A2024_a7R94,09247360960,10.0,2024-01-30,12508910960,PZ,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",46.00,TraMaBun,46.0,1.0
IT01879020517A2024_a7R94,09247360960,22.0,2024-01-30,12508910960,,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_a7R94,09247360960,4.0,2024-01-30,12508910960,KG,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.06,Focaccia In Teglia,27.83,5.5
IT01879020517A2024_a7R94,09247360960,22.0,2024-01-30,12508910960,,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_a7R94,09247360960,22.0,2024-01-30,12508910960,,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.00,Consegna EUR6,6.0,6.0
IT01879020517A2024_a7R94,09247360960,10.0,2024-01-30,12508910960,KG,572.20,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.00,PanBriosc,45.0,9.0
