SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01378570350_j7teX,09247360960,10.0,2024-11-02,04916380159,KG,21.04,2435560457,TD01,Esselunga S.p.A.,VIA STENDHAL 30,0.586,POLPO COTTO A VAPORE-KG    1,19.13,32.64505
IT01378570350_jGKj3,09247360960,10.0,2024-11-14,04916380159,Num.,60.62,2458780535,TD01,Esselunga S.p.A.,VIA STENDHAL 30,10.000,TARTARE DI CHIANINA-GR  150,45.37,4.537
IT01378570350_jGKj3,09247360960,10.0,2024-11-14,04916380159,Num.,60.62,2458780535,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,BABRBABIETOLE COTTE-GR  500,1.78,0.89
IT01378570350_jGKj3,09247360960,10.0,2024-11-14,04916380159,Num.,60.62,2458780535,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,ZUCCA COTTA ESS-GR  250,1.78,0.89
IT01378570350_jGKj3,09247360960,4.0,2024-11-14,04916380159,Num.,60.62,2458780535,TD01,Esselunga S.p.A.,VIA STENDHAL 30,4.000,OSELLA GHIOTTOFRESCHI-GR  100,6.35,1.5875
IT01378570350_jGKj3,09247360960,22.0,2024-11-14,04916380159,Num.,60.62,2458780535,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,SHOPPER-UN    1,0.16,0.08
IT01378570350_jICCy,09247360960,22.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,"6 BT ACQ.FIUG.LT 1,02-CL  612",6.35,6.35
IT01378570350_jICCy,09247360960,22.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,FORST 0.0-CL   99,4.9,2.45
IT01378570350_jICCy,09247360960,4.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,GAROFALO SIGAR. ZITI-GR  500,0.76,0.76
IT01378570350_jICCy,09247360960,4.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,GAROFALO PENNE LISCE-GR  500,0.76,0.76
IT01378570350_jICCy,09247360960,10.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,COOKIES FARRO CIOCCO-GR  160,3.36,3.36
IT01378570350_jICCy,09247360960,10.0,2024-11-16,04916380159,Num.,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,ESSELUNGA BORLOTTI X3-GR  690,1.81,1.81
IT01378570350_jICCy,09247360960,10.0,2024-11-16,04916380159,KG,71.96,2464300182,TD01,Esselunga S.p.A.,VIA STENDHAL 30,0.193,SALAME AL CIOCCOLATO-KG    1,2.76,14.300518
