SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01228510416_8VH6Q,09247360960,22.0,2024-12-27,01228510416,PZ,215.29,IMA0188619,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,18.00000000,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,176.472,10.32
IT01378570350_jh3Gi,09247360960,4.0,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,BIS JULIENNE NATURAMA-GR  300,2.27,1.135
IT01378570350_jh3Gi,09247360960,4.0,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.,VIA STENDHAL 30,6.000,INS. ALLEGRA  NAT.-GR  200,11.42,1.903333
IT01378570350_jh3Gi,09247360960,10.0,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,CESTO 178400 ARMONIA DOLCE IVA 10-UN    1-178400 CONFEZ.ARMONIA DOLCE,8.8,8.8
IT01378570350_jh3Gi,09247360960,22.0,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,CESTO 178400 ARMONIA DOLCE IVA 22-UN    1-178400 CONFEZ.ARMONIA DOLCE,2.71,2.71
IT01378570350_jh3Gi,09247360960,22.0,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,SHOPPER-UN    1,0.16,0.08
IT016417907022024b_0cLEv,09247360960,22.0,2024-12-03,02223530060,,1130.33,SXK0Q,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",1.00,"Realizzazione prima mezza  cotta con marchio cliente (BIRRA MODERN IPA denominata ""STANDHALINA"") a norma secondo accordi e contenenti le indicazioni obbligatorie di legge",0.0,0.0
IT016417907022024b_0cLEv,09247360960,22.0,2024-12-03,02223530060,,1130.33,SXK0Q,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",11.00,"BIRRA ""STANDHALINA"" BEER GALLERY MODERN IPA  (mezza cotta) (rif ns Eureka)",924.0,84.0
IT016417907022024b_0cLEv,09247360960,22.0,2024-12-03,02223530060,,1130.33,SXK0Q,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",,Spese d'incasso,2.5,2.5
IT016417907022024n_0cLJJ,09247360960,22.0,2024-12-03,02223530060,,1130.33,SXK0P,TD04,Birrificio Civale srl,"VIA STENDHAL, 30",,RESO:,0.0,0.0
IT016417907022024n_0cLJJ,09247360960,22.0,2024-12-03,02223530060,pz,1130.33,SXK0P,TD04,Birrificio Civale srl,"VIA STENDHAL, 30",11.00,Fusto Standhalina 24Lt PK,924.0,84.0
IT016417907022024n_0cLJJ,09247360960,22.0,2024-12-03,02223530060,,1130.33,SXK0P,TD04,Birrificio Civale srl,"VIA STENDHAL, 30",1.00,storno spese di incasso,2.5,2.5
IT01879020517A2024_h1icZ,09247360960,0.0,2024-12-13,11690860967,,362.00,71,TD01,,VIA ENRICO STENDHAL,1.00,Realizzazione sottobicchieri rotondi,180.0,180.0
IT01879020517A2024_h1icZ,09247360960,0.0,2024-12-13,11690860967,,362.00,71,TD01,,VIA ENRICO STENDHAL,1.00,Realizzazione sottobicchieri quadrati,180.0,180.0
IT01879020517A2024_h1icZ,09247360960,0.0,2024-12-13,11690860967,,362.00,71,TD01,,VIA ENRICO STENDHAL,1.00,Imposta di bollo assolta in modo virtuale ai sensi dell'articolo 15 del d.p.r. 642/1972 e del DM 17/06/2014.,2.0,2.0
IT02355260981_U8stn,09247360960,22.0,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,PROLUNGA,14.34,14.34
IT02355260981_U8stn,09247360960,22.0,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,FASCETTE,4.18,4.18
IT02355260981_U8stn,09247360960,22.0,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,ADATTATORE,3.65,3.65
IT02355260981_UFioS,09247360960,22.0,2024-12-15,05602640962,,10.60,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,CHIODO,2.3,2.3
IT02355260981_UFioS,09247360960,22.0,2024-12-15,05602640962,,10.60,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,ACCENDINO,1.89,1.89
IT02355260981_UFioS,09247360960,22.0,2024-12-15,05602640962,,10.60,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.00,ADATTATORE,4.51,4.51
IT03336420967_nfcg7,09247360960,22.0,2024-12-06,02144350069,NR,170.80,0039347143,TD01,BIRRIFICIO HENQUET DI NADAL PIERINO & C.SAS,VIA ENRICO STENDHAL 30,2.00000000,Fusto di Birra Pils  20 litri lotto 09424 scadenza 15/02//2025,140.0,70.0
