SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01378570350_gTeKX,09247360960,4.0,2024-03-13,04916380159,Num.,17.98,2011171172,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,ESSELUN.LATTE UHT INT-ML  500,1.5,0.75
IT01378570350_gTeKX,09247360960,4.0,2024-03-13,04916380159,KG,17.98,2011171172,TD01,Esselunga S.p.A.,VIA STENDHAL 30,0.785,GRANA PADANO SMART-KG    1,9.06,11.541401
IT01378570350_gTeKX,09247360960,4.0,2024-03-13,04916380159,Num.,17.98,2011171172,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,RASPADURA-GR  150,6.73,3.365
IT01378570350_gVmFH,09247360960,0.0,2024-03-08,06017420487,,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,,POD: IT012E00109641 -,0.0,0.0
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Spesa per la materia energia,575.99,575.99
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Spesa per il trasporto e la gestione del contatore,56.0,56.0
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Spesa per gli oneri di sistema,107.25,107.25
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Altre partite,15.9,15.9
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Imposte,25.43,25.43
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Canone (sconto su canone) - SentiAMOci Easy storno febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,-9.9,-9.9
IT01378570350_gVmFH,09247360960,22.0,2024-03-08,06017420487,N.,952.30,2016730005,TD01,ENEGAN SPA,VIA ENRICO STENDHAL 30,1.00,Canone - SentiAMOci Easy febbraio 2024  -  Per canone - Competenza *t*DA:01/02/2024 *t*A:29/02/2024,9.9,9.9
