SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01228510416_E7N,09247360960,22.0,2024-04-30,01228510416,PZ,832.11,IMA0165414,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,60.00000000,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,558.6,9.8
IT01228510416_E7N,09247360960,22.0,2024-04-30,01228510416,PZ,832.11,IMA0165414,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,12.00000000,CAPS CAFFE' RISERVA BIO PROFESSIONAL PLUS 25 pz,123.462,10.83
IT01336610587_0XBSY,09247360960,22.0,2024-04-27,00987061009,,189.34,8076642,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti amministrativi di procedura,3.0,3.0
IT01336610587_0XBSY,09247360960,22.0,2024-04-27,00987061009,,189.34,8076642,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,MUSICA D'AMBIENTE.:APPAR. RIPROD. AUDIO,152.2,152.2
IT01378570350_givRX,09247360960,10.0,2024-04-03,04916380159,Num.,35.00,2047682067,TD01,Esselunga S.p.A.,VIA STENDHAL 30,10.000,BATTUTA FASSONE-GR  160,31.73,3.173
IT01378570350_givRX,09247360960,22.0,2024-04-03,04916380159,Num.,35.00,2047682067,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,SHOPPER-UN    1,0.08,0.08
IT01378570350_gsvJ9,09247360960,22.0,2024-04-15,06017420487,PZ,204.96,2076580050,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL,1.00000000,router Vdsl fritz 7530,168.0,168.0
IT01533080675_6noAT,09247360960,22.0,2024-04-11,01622610150,NR,25.00,001IR,TD01,OLDANI SNC DI OLDANI PAOLA E MURATORI GIOVANNI,VIA STENDHAL 30,1.00000000,AGENDA QUO VADIS,20.49,20.49
IT01533080675_6pCha,09247360960,22.0,2024-04-17,01622610150,NR,8.10,001IY,TD01,OLDANI SNC DI OLDANI PAOLA E MURATORI GIOVANNI,VIA STENDHAL 30,1.00000000,NASTRO BIADESIVO 19MMX50M,3.2,3.2
IT01533080675_6pCha,09247360960,22.0,2024-04-17,01622610150,NR,8.10,001IY,TD01,OLDANI SNC DI OLDANI PAOLA E MURATORI GIOVANNI,VIA STENDHAL 30,1.00000000,MARCATORE UNIPOSCA PC5 OSAMA BIANCO,3.44,3.44
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",,DDT n. 000147 - 01/04/2024,0.0,0.0
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",,Trasporto a cura del Dest. - Porto: FRANCO,0.0,0.0
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,PZ,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",24.00,vino bianco LUMASSINA I.G.T.  Colline Savonesi 2022,235.2,9.8
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,PZ,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",12.00,vino bianco PIGATO D.O.C. Riviera Ligure di Ponente 2023,138.0,11.5
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,PZ,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",24.00,vino rosso ROSSO DELL'ORCO,187.2,7.8
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",,Sconti finali - 25.00%,-140.1,-140.1
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",,"Assolve gli obblighi di cui all'art. 3  del DLGS 198/2021,COME CONVENUTO DALLE PARTI",0.0,0.0
IT01575230097_00DXS,09247360960,22.0,2024-04-30,01575230097,,512.77,lsgjt00143,TD24,,"VIA STENDHAL ENRICO, 30",,Corrispettivo comprensivo del Contributo ambientale Conai già assolto,0.0,0.0
IT0164179070220249_03Sbp,09247360960,22.0,2024-04-18,03417610247,NR,588.53,2024W0E9E,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",1.00000000,Rif. DDT n. 1217 del 18/04/2024,0.0,0.0
IT0164179070220249_03Sbp,09247360960,22.0,2024-04-18,03417610247,LT,588.53,2024W0E9E,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",48.00000000,"BIRRA PG , 2 FUSTI DA 24LP (LOTTO 24/11/24)",201.6,4.2
IT0164179070220249_03Sbp,09247360960,22.0,2024-04-18,03417610247,LT,588.53,2024W0E9E,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",24.00000000,"BIRRA HEAVEN/ZEN, 1 FUSTO DA 24LP (LOTTO 14/10/24)",93.6,3.9
IT0164179070220249_03Sbp,09247360960,22.0,2024-04-18,03417610247,LT,588.53,2024W0E9E,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",24.00000000,"BIRRA HEAVEN, 1 FUSTO DA 24LP (LOTTO 25/11/24)",93.6,3.9
IT0164179070220249_03Sbp,09247360960,22.0,2024-04-18,03417610247,LT,588.53,2024W0E9E,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",24.00000000,"BIRRA SCUBI, 1 FUSTO DA 24LP (LOTTO 03/11/24)",93.6,3.9
IT016417907022024a_04hcI,09247360960,22.0,2024-04-30,08147330966,,1605.28,JJTV5,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,,"** Rif. Doc. di trasporto 98 del 11/04/2024, 110 del 26/04/2024:",0.0,0.0
IT016417907022024a_04hcI,09247360960,22.0,2024-04-30,08147330966,pz,1605.28,JJTV5,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,9.00,Fusto 20lt Rubia,504.0,56.0
IT016417907022024a_04hcI,09247360960,22.0,2024-04-30,08147330966,pz,1605.28,JJTV5,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,6.00,Fusto 20lt Doppia W,391.8,65.3
IT016417907022024a_04hcI,09247360960,22.0,2024-04-30,08147330966,pz,1605.28,JJTV5,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,6.00,Fusto 20lt Stendhal IPA,420.0,70.0
IT016417907022024r_03SZ9,09247360960,22.0,2024-04-18,06396540962,pezzi,48.80,00003fj8jj,TD01,PALOMBER S.R.L.,"VIA ENRICO STENDHAL, 30",1.00,FELPA RUSSELL // Felpa Russell JE266M colore Nero Tg.M con Stampa Vs. Logo,40.0,40.0
IT02355260981_QF1Cs,09247360960,10.0,2024-04-02,01275750121,,61.43,QF1Cs,TD01,GELMARKET SRL,VIA STENDAL 30,,Rif.Ns.Negozio di Milano - Solari,0.0,0.0
