SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01336610587_0XV9c,09247360960,22.0,2024-05-13,00987061009,,121.30,8152628,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti amministrativi di procedura,1.0,1.0
IT01336610587_0XV9c,09247360960,22.0,2024-05-13,00987061009,,121.30,8152628,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,TRATTENIMENTI SM SENZA BALLO,79.0,79.0
IT01336610587_0XV9c,09247360960,0.0,2024-05-13,00987061009,,121.30,8152628,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Musica Interessi Moratori e Penalità,23.7,23.7
IT01336610587_0XhoT,09247360960,22.0,2024-05-21,00987061009,,15.03,8201031,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti amministrativi di procedura,1.0,1.0
IT01336610587_0XhoT,09247360960,22.0,2024-05-21,00987061009,,15.03,8201031,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti conn. Intrattenimento,11.32,11.32
IT01336610587_0XsK7,09247360960,22.0,2024-05-28,00987061009,,15.03,8242730,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti conn. Intrattenimento,11.32,11.32
IT01336610587_0XsK7,09247360960,22.0,2024-05-28,00987061009,,15.03,8242730,TD01,S.I.A.E.,VIA ENRICO STENDHAL 30,1.00,Diritti amministrativi di procedura,1.0,1.0
IT01378570350_h34Ae,09247360960,10.0,2024-05-02,04916380159,Num.,59.86,2101150518,TD01,Esselunga S.p.A.,VIA STENDHAL 30,6.000,PIEM.BURGER CLASS.-GR  250,19.03,3.171667
IT01378570350_h34Ae,09247360960,10.0,2024-05-02,04916380159,Num.,59.86,2101150518,TD01,Esselunga S.p.A.,VIA STENDHAL 30,4.000,BATTUTA FASSONE-GR  160,18.15,4.5375
IT01378570350_h34Ae,09247360960,4.0,2024-05-02,04916380159,Num.,59.86,2101150518,TD01,Esselunga S.p.A.,VIA STENDHAL 30,2.000,PHILADELPHIA GR250-GR  250,6.13,3.065
