SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01378570350_i33YP,09247360960,22.0,2024-07-24,04916380159,Num.,3.04,2253080581,TD01,Esselunga S.p.A.,VIA STENDHAL 30,3.000,MENTA-GR   30,2.41,0.803333
IT01378570350_i33YP,09247360960,22.0,2024-07-24,04916380159,Num.,3.04,2253080581,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,SHOPPER-UN    1,0.08,0.08
IT016417907022024F_07oo2,09247360960,0.0,2024-07-19,03841890548,,520.00,00003nph1i,TD01,SCOTTI ELISA,"VIA ENRICO STENDHAL, 30",1.00,Servizio fotografico ad uso social/web // Foto per articolo su Flawless,100.0,100.0
IT016417907022024F_07oo2,09247360960,0.0,2024-07-19,03841890548,,520.00,00003nph1i,TD01,SCOTTI ELISA,"VIA ENRICO STENDHAL, 30",1.00,Servizio fotografico ad uso social/web // Foto del menù  per piano editoriale social/web,400.0,400.0
IT016417907022024H_074bI,09247360960,22.0,2024-07-10,03417610247,NR,146.40,2024W0F0O,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",1.00000000,Rif. DDT n. 2439 del 10/07/2024,0.0,0.0
IT016417907022024H_074bI,09247360960,22.0,2024-07-10,03417610247,PZ,146.40,2024W0F0O,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",24.00000000,BIRRA MARANEA IN BOTT DA 0.5L (LOTTO 26/04/25),67.2,2.8
IT016417907022024H_074bI,09247360960,22.0,2024-07-10,03417610247,PZ,146.40,2024W0F0O,TD01,BIRRONE S.A.R.L,"VIA STENDHAL, 30",24.00000000,BIRRA BRUSCA IN BOTT DA 0.33L (LOTTO 15/04/25),52.8,2.2
IT016417907022024o_07R7S,09247360960,22.0,2024-07-31,08147330966,,666.12,JJTX0,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,,"** Rif. Doc. di trasporto 170 del 05/07/2024, 184 del 24/07/2024:",0.0,0.0
IT016417907022024o_07R7S,09247360960,22.0,2024-07-31,08147330966,pz,666.12,JJTX0,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,6.00,Fusto 20lt Rubia,336.0,56.0
IT016417907022024o_07R7S,09247360960,22.0,2024-07-31,08147330966,pz,666.12,JJTX0,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,3.00,Fusto 20lt Stendhal IPA,210.0,70.0
