SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT01228510416_19DPJ,09247360960,22.0,2024-10-23,01228510416,PZ,358.83,IMA0182681,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,30.00000000,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,294.12,10.32
IT01228510416_UWOK7,09247360960,22.0,2024-10-19,01228510416,PZ,358.83,IMA0182929,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,30.00000000,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,294.12,10.32
IT01378570350_ir25d,09247360960,4.0,2024-10-07,04916380159,Num.,6.53,2380341583,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,ZUCCHINE JULIENNE-GR  500,1.91,1.91
IT01378570350_ir25d,09247360960,4.0,2024-10-07,04916380159,Num.,6.53,2380341583,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,G.PADANO GRATT. SMART-GR  100,1.49,1.49
IT01378570350_ir25d,09247360960,10.0,2024-10-07,04916380159,Num.,6.53,2380341583,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,ESS.UOVAX10 SENZA ANT-PZ   10,2.63,2.63
IT01378570350_ir25d,09247360960,22.0,2024-10-07,04916380159,Num.,6.53,2380341583,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,SHOPPER-UN    1,0.08,0.08
IT01378570350_ixGG6,09247360960,22.0,2024-10-08,06017420487,NR,66.86,2400180159,TD01,ENEGAN S.p.A.,null VIA ENRICO STENDHAL 30,1.00,Condivisa Insieme Adeguamento ottobre 2024,39.9,39.9
IT01378570350_ixGG6,09247360960,22.0,2024-10-08,06017420487,NR,66.86,2400180159,TD01,ENEGAN S.p.A.,null VIA ENRICO STENDHAL 30,1.00,Linee Voip settembre 2024,0.0,0.0
IT01378570350_ixGG6,09247360960,22.0,2024-10-08,06017420487,NR,66.86,2400180159,TD01,ENEGAN S.p.A.,null VIA ENRICO STENDHAL 30,1.00,SentiAMOci Easy ottobre 2024,9.9,9.9
IT01378570350_ixGG6,09247360960,22.0,2024-10-08,06017420487,NR,66.86,2400180159,TD01,ENEGAN S.p.A.,null VIA ENRICO STENDHAL 30,1.00,Upgrade FIBRA FTTH 1GB/100M ottobre 2024,5.0,5.0
IT01378570350_ixGG6,09247360960,22.0,2024-10-08,06017420487,NR,66.86,2400180159,TD01,ENEGAN S.p.A.,null VIA ENRICO STENDHAL 30,1.00,VoipFlat_22A settembre 2024,0.0,0.0
IT01378570350_izESj,09247360960,10.0,2024-10-19,04916380159,Num.,37.46,2407941308,TD01,Esselunga S.p.A.,VIA STENDHAL 30,1.000,LA GHIOTTA AGRODOLCE-GR  260,9.09,9.09
IT01378570350_izESj,09247360960,10.0,2024-10-19,04916380159,KG,37.46,2407941308,TD01,Esselunga S.p.A.,VIA STENDHAL 30,0.270,SPIANATA PICCANTE SV-KG    1,5.4,20.0
IT01378570350_izESj,09247360960,10.0,2024-10-19,04916380159,Num.,37.46,2407941308,TD01,Esselunga S.p.A.,VIA STENDHAL 30,4.000,ZUCCA COTTA ESS-GR  250,3.56,0.89
