SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,Dest. : C02498002 BOWL SESTRI VIA SESTRI 82 R  GENOVA,0.0,0.0
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,Rif. 01-DDT  009628 del 01/03/2024,0.0,0.0
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,5.0000000,ACQUA VALLE STURA MIA GAS 50 CL. PET,19.87,3.974
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,9.0000000,ACQUA VALLE STURA MIA NAT 50 CL. PET,35.76,3.973333
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,2.0000000,COCA COLA 33 CL. VAP,32.83,16.415
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,2.0000000,FANTA 33 CL. VAP,32.83,16.415
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,ESTATHE LIMONE 25 CL. VAP,24.86,24.86
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,ESTATHE PESCA 25 CL. VAP,24.86,24.86
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,BIRRA CORONA EXTRA 33 CL.,28.44,28.44
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,BIRRA MESSINA CRISTALLI DI SALE 33 CL.,33.84,33.84
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,BIRRA RENTON JACARANDA IPA 33 CL. LATT.,27.34,27.34
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,BIRRA RENTON TRINI BLANCHE 33 CL. LATT.,24.75,24.75
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,CF,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,BIRRA RENTON BOMBAY RED ALE 33 CL. LATT.,25.92,25.92
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,"Totale merce ...........:    303,21",0.0,0.0
IT00263520108_07TN7,02720490990,22.0,2024-03-05,00263520108,,379.79,wfogn95931,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,"Totale accise ..........:        8,09",0.0,0.0
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,Dest. : C02949001 BOWL CESAREA VIA GRANELLO 47 R  GENOVA,0.0,0.0
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,,Rif. 01-DDT  011417 del 13/03/2024,0.0,0.0
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,10.0000000,ACQUA VALLE STURA MIA GAS 50 CL. PET,39.53,3.953
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,26.0000000,ACQUA VALLE STURA MIA NAT 50 CL. PET,102.78,3.953077
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,5.0000000,"ACQUA VALLE STURA MIA NAT 1,5 LT. PET",14.56,2.912
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,3.0000000,COCA COLA 33 CL. VAP,48.99,16.33
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,3.0000000,COCA COLA ZERO 33 CL. VAP,48.99,16.33
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,WAMI THE WANDERFUSE GREENIE 33 CL. LATT.,19.56,19.56
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,WAMI THE WANDERFUSE CHAI 33 CL. LATTINA,19.56,19.56
IT00263520108_07V2E,02549150999,22.0,2024-03-15,00263520108,CF,509.56,wfogn97528,TD01,Timossi Commerciale S.p.a. a s.u.,VIA RIO SALTO 1/3,1.0000000,WAMI THE WANDERFUSE BAO 33 CL. LATTINA,19.56,19.56
