ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA,MACRO_CATEGORIA
1,IT016417907022024o_00Gul,09247360960,22,2024-01-18,17002501009,,121.88,0000381ip4,TD01,leggimenu SRL,Via Stendhal 30,1.0,leggimenu.it - Brand,99.9,99.90164,Software,Altri Costi Fissi
2,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",53.0,TraMaBun,53.0,1.0,Food,Costi Variabili
3,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",11.7,PanBriosc,117.0,10.0,Food,Costi Variabili
4,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
5,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",6.96,PanBriosc,69.6,10.0,Food,Costi Variabili
6,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",46.0,TraMaBun,46.0,1.0,Food,Costi Variabili
7,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
8,IT01879020517A2024_a7R94,09247360960,4,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.06,Focaccia In Teglia,27.83,5.5,Food,Costi Variabili
9,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
10,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
11,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.0,PanBriosc,45.0,9.0,Food,Costi Variabili
12,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",60.0,TraMaBun,60.0,1.0,Food,Costi Variabili
13,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",70.0,TraMaBun,70.0,1.0,Food,Costi Variabili
14,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
15,IT01879020517A2024_abftX,09247360960,10,2024-01-02,12508910960,PZ,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",28.0,Panini per hotdog,28.0,1.0,Food,Costi Variabili
16,IT01879020517A2024_abftX,09247360960,10,2024-01-02,12508910960,KG,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",7.3,Pan Briosc,65.7,9.0,Food,Costi Variabili
17,IT01879020517A2024_abftX,09247360960,22,2024-01-02,12508910960,,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Food,Costi Variabili
18,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,n,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",24.0,"[DdT 20 - 31/01/24]   franciacorta docg brut (l 0,75)",381.6,15.9,Beverage,Costi Variabili
19,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,n,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",12.0,"[DdT 20 - 31/01/24]   franciacorta docg rose (l 0,75)",218.4,18.2,Beverage,Costi Variabili
20,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,n,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",6.0,"[DdT 20 - 31/01/24]   franciacorta docg brut (l 0,75)",0.0,0.0,Beverage,Costi Variabili
21,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,no,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",1.0,[DdT 20 - 31/01/24]   box gadget pietraluce,0.0,0.0,Beverage,Costi Variabili
22,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,SOTTOBICCHIERE LEGNO,14.75,14.75,Altre Forniture,Altri Costi Fissi
23,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,SOTTOBICCHIERE LEGNO,12.3,12.3,Altre Forniture,Altri Costi Fissi
24,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,PORTA SPUGNE SAPONI,13.03,13.03,Altre Forniture,Altri Costi Fissi
25,IT02355260981_PBwlh,09247360960,10,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,PIANTE VERDI,45.36,45.36,Altre Forniture,Altri Costi Fissi
26,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,VASO CON RUOTE,15.49,15.49,Altre Forniture,Altri Costi Fissi
