Index,ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA
1,1,IT016417907022024o_00Gul,09247360960,22,2024-01-18,17002501009,,121.88,0000381ip4,TD01,leggimenu SRL,Via Stendhal 30,1.0,leggimenu.it - Brand,99.9,99.90164,Marketing
2,2,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",53.0,TraMaBun,53.0,1.0,Food
3,3,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",11.7,PanBriosc,117.0,10.0,Food
4,4,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
5,5,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",6.96,PanBriosc,69.6,10.0,Food
6,6,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",46.0,TraMaBun,46.0,1.0,Food
7,7,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
8,8,IT01879020517A2024_a7R94,09247360960,4,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.06,Focaccia In Teglia,27.83,5.5,Food
9,9,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
10,10,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
11,11,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,KG,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",5.0,PanBriosc,45.0,9.0,Food
12,12,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",60.0,TraMaBun,60.0,1.0,Food
13,13,IT01879020517A2024_a7R94,09247360960,10,2024-01-30,12508910960,PZ,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",70.0,TraMaBun,70.0,1.0,Food
